idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
21, HUPRSCNT,0.8099,0.7641,0.1173,0.383
103, PUHRCK3,0.8038,0.7641,-0.6336,0.3856
187, PUIO1MFG,0.8055,0.7642,-0.4274,0.3888
275, PXMJNUM,0.8092,0.7642,0.0319,0.3903
242, PWLGWGT,0.809,0.7642,0.0106,0.3969
359, PELNDAD,0.7995,0.7644,-1.1751,0.4202
229, PEERNWKP,0.8002,0.7647,-1.0872,0.461
259, PXMARITL,0.8048,0.7648,-0.5203,0.4713
365, PXLNMOM,0.8077,0.7648,-0.1612,0.4713
147, PEDWLKO,0.8116,0.7648,0.3281,0.4721
325, PXERNLAB,0.81,0.7648,0.1322,0.4743
267, PXMNTVTY,0.8008,0.7656,-1.0027,0.5839
